over,under
Christine Judith Conglomerate,Lady Don Quartzite
Riversleigh Siltstone,Lady Loretta Formation
Lady Loretta Formation,Esperanza Formation
Shady Bore Quartzite,Lady Loretta Formation
Laidlaw Volcanics,Yarralumla Formation
Laidlaw Volcanics,Deakin Volcanics
Yanawe Formation,Laidlaw Volcanics
Laidlaw Volcanics,Cliftonwood Limestone Member
Laidlaw Volcanics,O'Briens Creek Sandstone Member
Laidlaw Volcanics,Boambolo Formation
Euralie Limestone Member,Laidlaw Volcanics
Excursion Creek Sandstone Member,Laidlaw Volcanics
Hulong Conglomerate Member,Laidlaw Volcanics
Werong Breccia Member,Laidlaw Volcanics
Silverdale Formation,Laidlaw Volcanics
Laidlaw Volcanics,Yass Formation
Eumeralla Formation,Laira Formation
Katnook Sandstone,Laira Formation
Laira Formation,Pretty Hill Formation
Parilla Sand,Lake Boga Granite
Lake Frome Group,Aroona Creek Limestone
Lake Frome Group,Wirrealpa Limestone
Lake Galilee Sandstone,Ducabrook Formation
Jericho Formation,Lake Galilee Sandstone
Lake George Formation (NSW),Gearys Gap Formation
Lake George Formation,Callawa Formation
Lake George Formation,Anketell Formation
Cradle Cirque Siltstone,Lake Holmes Coal Measures
Lake Holmes Coal Measures,Lake Will Pebbly Siltstone
Lake Mountain Rhyodacite,Marysville Igneous Complex
Boisdale Formation,Lake Wellington Formation
Lake Wellington Formation,Balook Formation
Lake Wellington Formation,Latrobe Valley Group
Lake Wellington Formation,Jemmys Point Formation
Lake Will Pebbly Siltstone,Barn Bluff Conglomerate
Lakes Entrance Formation,Traralgon Formation
Haunted Hill Formation,Lakes Entrance Formation
Lakes Entrance Formation,Burong Formation
Lakes Entrance Formation,Latrobe Group
Gippsland Limestone,Lakes Entrance Formation
Lakes Entrance Formation,Gurnard Formation
Ketchowla Siltstone,Balparana Sandstone
Balparana Sandstone,Mount Curtis Tillite
Antrim Plateau Volcanics,Lally Conglomerate
Legune Formation,Lalngang Sandstone
Lalngang Sandstone,Goobaieri Formation
Lambie Group,Winburn Tuff
Snapper Point Formation,Lambie Group
Lambie Group,Dulladerry Volcanics
Lambie Group,Quialigo Volcanics
Adamstown Subgroup,Lambton Subgroup
Lambton Subgroup,Waratah Sandstone
Lamington Group,Numinbah Valley Formation
Lampe Formation,Paterson Formation
Lampe Formation,Samuel Formation
Lampe Formation,Bejah Claystone
Lancewood Shale,Currant Bush Limestone
Landsborough Sandstone,Nambour Formation
Brighton beds,Landsborough Sandstone
Landsborough Sandstone,North Arm Volcanics
Border Creek Formation,Langfield Group
Keep Inlet Formation,Langfield Group
Weaber Group,Langfield Group
Milligans Formation,Langfield Group
Langfield Group,Ningbing Group
Langra Formation,Mereenie Sandstone
Langra Formation,Larapinta Group
Langra Formation,Parke Siltstone
Langra Formation,Winnall beds
Horseshoe Bend Shale,Langra Formation
Langra Formation,Polly Conglomerate
Larapinta Group,Pottoyu Granite Suite
Larapinta Group,Winnall beds
Larapinta Group,Dean Quartzite
Dare Siltstone Member,Larapinta Group
Pertnjara Group,Larapinta Group
Mereenie Sandstone,Larapinta Group
Larapinta Group,Pertaoorrta Group
Lark Hill Formation,Rocky Creek Conglomerate
Lashly Formation,Feather Conglomerate
Latrobe Group,Strzelecki Group
Flounder Formation,Latrobe Group
Turrum Formation,Latrobe Group
Latrobe Group,Otway Group
Latrobe Group,Golden Beach Group
Haunted Hill Gravel,Latrobe Valley Group
Banana Formation,Flat Top Formation
Scotia Member,Banana Formation
Burunga Formation,Banana Formation
Scotia Coal Member,Banana Formation
Wiseman Formation,Banana Formation
Laurieton Conglomerate,Jolly Nose Conglomerate
Grants Head Formation,Laurieton Conglomerate
Laurieton Conglomerate,Camden Head Claystone
Playford Sandstone,Lawn Hill Formation
Lawn Hill Formation,Riversleigh Siltstone
Constance Sandstone,Lawn Hill Formation
Lawn Hill Formation,Ploughed Mountain Beds
Lawn Hill Formation,Plain Creek Formation
Lawn Hill Formation,Termite Range Formation
Lawrence Sandstone Member,Burragorang Claystone Member
Derale Sandstone,Lawsons Creek Shale
Lawsons Creek Shale,Bumberra Formation
Le Hunte Formation,Glanville Formation
Ellendale Formation,Le Lievre Formation
Leap Year Group,Mariner Group
Goonbri Formation,Leard Formation
Maules Creek Formation,Leard Formation
Porcupine Formation,Leard Formation
Leard Formation,Werrie Basalt
Leard Formation,Boggabri Volcanics
Learmonth Formation,Murat Siltstone
Athol Formation,Learmonth Formation
Wogatti Sandstone,Learmonth Formation
Calypso Formation,Learmonth Formation
Learmonth Formation,Lyons Group
Learmonth Formation,Callytharra Formation
Leasingham Quartzite Member,Saddleworth Formation
Utopia Quartzite,Ledan Schist
Ledan Schist,Delny Gneiss
Ledan Schist,Delmore Metamorphics
Leederville Formation,Willespie Formation
Leederville Formation,Rosabrook Coal Measures
Leederville Formation,Yarragadee Formation
Osborne Formation,Leederville Formation
Molecap Greensand,Leederville Formation
Gingin Chalk,Leederville Formation
Poison Hill Greensand,Leederville Formation
Dandaragan Sandstone,Leederville Formation
Leederville Formation,Bunbury Basalt
Kings Park Shale,Leederville Formation
Leederville Formation,South Perth Shale
Tamala Limestone,Leederville Formation
Lees Sandstone,Hampstead Sandstone
Polland Shale,Lees Sandstone
Browne Formation,Lefroy Formation
Lupton Formation,Lefroy Formation
Lefroy Formation,Townsend Quartzite
Legendre Formation,Murat Siltstone
Legendre Formation,Athol Formation
Calypso Formation,Legendre Formation
Angel Formation,Legendre Formation
Legendre Formation,North Rankin Formation
Legune Formation,Whitewater Volcanics
Legune Formation,Lalngang Formation
Rewan Group,Bandanna Formation
Sagittarius Sandstone,Bandanna Formation
Bandanna Formation,Burngrove Formation
Bandanna Formation,Black Alley Shale
