#ID,SiteCode,SiteCommo,PositionX,PositionY,DistanceToContact,ContainingPolygonID,NeighbourPolygonID,ContainingPolygonCode,NeighbourPolygonCode,ContactType,FaultID
0,S0001184,Fe,536727.5352090094,7519378.199559731,322.15,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
1,S0001185,Fe,539315.9595996903,7505467.297762176,867.64,12,661,Brockman Iron Formation,Weeli Wolli Formation,Igneous,-1
2,S0001186,Fe,517965.8268043754,7509443.501458154,22.73,496,617,Mount McRae Shale and Mount Sylvia Formation,Wittenoom Formation,Fault,12660
3,S0001482,Fe,505671.5373419506,7495706.967673066,1099.56,12,694,Brockman Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
4,S0001587,Fe,521925.471144399,7500877.374573213,258.88,630,12,Mount McRae Shale and Mount Sylvia Formation,Brockman Iron Formation,Strat,-1
5,S0001588,Fe,536727.5352090094,7519378.199559731,322.15,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
6,S0002943,Fe,542852.1272207119,7512530.319840565,15.36,316,12,Mount McRae Shale and Mount Sylvia Formation,Brockman Iron Formation,Strat,-1
7,S0002944,Fe,537427.8304560501,7519211.474243076,205.00,316,617,Mount McRae Shale and Mount Sylvia Formation,Wittenoom Formation,Strat,-1
8,S0002945,Fe,533919.392065614,7501319.115786738,227.10,617,606,Wittenoom Formation,Marra Mamba Iron Formation,Strat,-1
9,S0002946,Fe,524522.182009359,7510734.879924295,53.46,12,316,Brockman Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
10,S0002950,Fe,540516.5096417044,7504756.938801543,35.58,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
11,S0003430,Fe,537057.4515108918,7502797.393242892,304.89,606,617,Marra Mamba Iron Formation,Wittenoom Formation,Strat,-1
12,S0003431,Fe,527772.019044798,7500850.183287366,112.73,606,630,Marra Mamba Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
13,S0003432,Fe,521911.9127656402,7499805.645154214,48.91,637,58,Marra Mamba Iron Formation,Jeerinah Formation,Strat,-1
14,S0003433,Fe,518292.3430465185,7498404.680772685,48.07,280,637,Wittenoom Formation,Marra Mamba Iron Formation,Strat,-1
15,S0004387,Fe,534895.4224422587,7518673.45170781,214.32,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
16,S0004388,Fe,537901.2884772695,7519708.443670096,112.69,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
17,S0005508,Fe,528884.3155511925,7513147.196054348,50.43,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
18,S0016714,Fe,534895.4224422587,7518673.45170781,214.32,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
19,S0018511,Asbr,531430.4989092675,7516001.660764832,715.38,12,316,Brockman Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
20,S0019231,Fe,533976.8196691039,7518631.332760106,134.72,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
21,S0019232,Fe,533082.1566105615,7518521.363461425,113.43,617,316,Wittenoom Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
22,S0019233,Fe,537315.2434520421,7518612.11646156,250.99,316,12,Mount McRae Shale and Mount Sylvia Formation,Brockman Iron Formation,Strat,-1
23,S0020567,Fe,537836.7513268463,7518652.800918858,104.87,12,316,Brockman Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
24,S0020927,Fe,514737.3648532065,7509639.42899205,108.56,617,617,Wittenoom Formation,Wittenoom Formation,Fault,15552
25,S0020928,Fe,520909.9511141023,7511052.477575094,186.97,606,617,Marra Mamba Iron Formation,Wittenoom Formation,Strat,-1
26,S0022158,Fe,523600.7287405009,7501079.339896381,50.86,12,12,Brockman Iron Formation,Brockman Iron Formation,Fault,3496
27,S0022159,Fe,518301.1855453528,7499698.361616556,118.10,12,630,Brockman Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
28,S0022230,Fe,538000.7344378267,7518300.169213882,491.54,12,316,Brockman Iron Formation,Mount McRae Shale and Mount Sylvia Formation,Strat,-1
29,S0023046,Fe,541903.7823336659,7504360.24216293,159.19,606,58,Marra Mamba Iron Formation,Jeerinah Formation,Strat,-1
